model,domain,no_context,original_context,knowledge_unit
Gemini 1.5 Flash 002,medical,42.28,97.17,93.37
Gemini 1.5 Flash 002,computer_science,58.56,97.27,93.62
Gemini 1.5 Flash 002,mathematics,52.26,94.68,91.82
Gemini 1.5 Flash 002,physics,34.19,95.30,92.97
Qwen 2.5 7B,medical,42.76,97.00,92.76
Qwen 2.5 7B,computer_science,58.59,97.27,93.45
Qwen 2.5 7B,mathematics,52.29,94.79,92.87
Qwen 2.5 7B,physics,36.80,95.29,92.97
Mistral Small 22B,medical,42.46,97.13,92.33
Mistral Small 22B,computer_science,58.79,97.37,94.70
Mistral Small 22B,mathematics,52.33,94.74,92.91
Mistral Small 22B,physics,34.58,95.38,90.56
Ministral 2410 3B,medical,42.24,97.06,88.22
Ministral 2410 3B,computer_science,58.48,97.36,91.91
Ministral 2410 3B,mathematics,52.21,94.80,87.65
Ministral 2410 3B,physics,33.03,95.29,87.14
Llama 3.2 3B,medical,42.52,97.10,87.08
Llama 3.2 3B,computer_science,58.63,97.34,88.47
Llama 3.2 3B,mathematics,51.61,94.82,86.44
Llama 3.2 3B,physics,36.89,95.33,86.90
Llama 3.1 8B,medical,42.69,97.13,85.80
Llama 3.1 8B,computer_science,58.68,97.31,87.75
Llama 3.1 8B,mathematics,52.00,94.81,84.21
Llama 3.1 8B,physics,37.04,95.29,85.43
